MiniCPU - Grupo 3 - Fatorial de 5

Ciclo   1: JMP 0x40        | R0=  0 R1=  0 R2=  0 R3=  0 | PC= 64 ZF=0 | MEM[0x20]=  0
Ciclo   2: LOAD R1, 0x10   | R0=  0 R1=  5 R2=  0 R3=  0 | PC= 67 ZF=0 | MEM[0x20]=  0
Ciclo   3: MOV R0, 1       | R0=  1 R1=  5 R2=  0 R3=  0 | PC= 70 ZF=0 | MEM[0x20]=  0
Ciclo   4: MOV R3, 0       | R0=  1 R1=  5 R2=  0 R3=  0 | PC= 73 ZF=0 | MEM[0x20]=  0
Ciclo   5: CMP R1, R3      | R0=  1 R1=  5 R2=  0 R3=  0 | PC= 76 ZF=0 | MEM[0x20]=  0
Ciclo   6: JZ 0x7F         | R0=  1 R1=  5 R2=  0 R3=  0 | PC= 79 ZF=0 | MEM[0x20]=  0
Ciclo   7: STORE R0, 0x21  | R0=  1 R1=  5 R2=  0 R3=  0 | PC= 82 ZF=0 | MEM[0x20]=  0
Ciclo   8: MOV R0, 0       | R0=  0 R1=  5 R2=  0 R3=  0 | PC= 85 ZF=0 | MEM[0x20]=  0
Ciclo   9: STORE R1, 0x22  | R0=  0 R1=  5 R2=  0 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  10: LOAD R2, 0x21   | R0=  0 R1=  5 R2=  1 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  11: ADD R0, R2      | R0=  1 R1=  5 R2=  1 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  12: MOV R3, 1       | R0=  1 R1=  5 R2=  1 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  13: SUB R1, R3      | R0=  1 R1=  4 R2=  1 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo  14: MOV R3, 0       | R0=  1 R1=  4 R2=  1 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo  15: CMP R1, R3      | R0=  1 R1=  4 R2=  1 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo  16: JNZ 0x58        | R0=  1 R1=  4 R2=  1 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  17: LOAD R2, 0x21   | R0=  1 R1=  4 R2=  1 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  18: ADD R0, R2      | R0=  2 R1=  4 R2=  1 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  19: MOV R3, 1       | R0=  2 R1=  4 R2=  1 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  20: SUB R1, R3      | R0=  2 R1=  3 R2=  1 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
Ciclo  21: MOV R3, 0       | R0=  2 R1=  3 R2=  1 R3=  0 | PC=103 ZF=0 | MEM[0x20]=  0
Ciclo  22: CMP R1, R3      | R0=  2 R1=  3 R2=  1 R3=  0 | PC=106 ZF=0 | MEM[0x20]=  0
Ciclo  23: JNZ 0x58        | R0=  2 R1=  3 R2=  1 R3=  0 | PC= 88 ZF=0 | MEM[0x20]=  0
Ciclo  24: LOAD R2, 0x21   | R0=  2 R1=  3 R2=  1 R3=  0 | PC= 91 ZF=0 | MEM[0x20]=  0
Ciclo  25: ADD R0, R2      | R0=  3 R1=  3 R2=  1 R3=  0 | PC= 94 ZF=0 | MEM[0x20]=  0
Ciclo  26: MOV R3, 1       | R0=  3 R1=  3 R2=  1 R3=  1 | PC= 97 ZF=0 | MEM[0x20]=  0
Ciclo  27: SUB R1, R3      | R0=  3 R1=  2 R2=  1 R3=  1 | PC=100 ZF=0 | MEM[0x20]=  0
